ComponentFamily,VariantId,VariantName,LibraryName,InternalPadL,InternalPadR,TitleLeftPad,NaturalW,NaturalH,Note
ToolBar,ToolBar_ComponentSet_00,默认,OS4 UI Kit,,,,,,
ToolBar,ToolBar_ComponentSet_01,默认,OS4 UI Kit,,,,,,屏幕宽度：大于440的定宽 344； / 小于440的铺满，左右padding 24
ToolBar,ToolBar_ComponentSet_02,默认,OS4 UI Kit,,,,,,屏幕宽度：大于440的定宽 344； / 小于440的铺满，左右padding 24
WheelPicker,WheelPicker_ComponentSet_01,日期_时分,OS4 UI Kit,,,,,,定宽 368 / 最小左右 padding 12 / 底部距离： / 有控制杆 → 距控制杆顶沿 12dp / 无控制杆 → 距屏幕底部 12dp / Pad：上下剧中
Scrollbar,Scrollbar_ComponentSet_01,默认,OS4 UI Kit,,0,,,,右 0
Divider,Divider_ComponentSet_01,分割线,OS4 UI Kit,28,28,,,,左28，右28
FloatingWindow,FloatingWindow_ComponentSet_01,浮窗窗口,OS4 UI Kit,12,12,,,,左12，右12
FloatingWindow,FloatingWindow_ComponentSet_02,浮窗窗口,OS4 UI Kit,12,12,,,,左12，右12
DrawerWindow,DrawerWindow_ComponentSet_high_01,抽屉窗口_高,OS4 UI Kit,24,24,,,,左24，右24
DrawerWindow,DrawerWindow_ComponentSet_mid_01,抽屉窗口_中,OS4 UI Kit,24,24,,,,左24，右24
DrawerWindow,DrawerWindow_ComponentSet_low_01,抽屉窗口_低,OS4 UI Kit,24,24,,,,左24，右24
AlertDialog,AlertDialog_ComponentSet_01,弹窗,OS4 UI Kit,,,,,,定宽 368 / 最小左右 padding 12 / 底部距离： / 有控制杆 → 距控制杆顶沿 12dp / 无控制杆 → 距屏幕底部 12dp / Pad：上下剧中
ActionSheet,Actionsheet_ComponentSet_01,行动操作按钮,OS4 UI Kit,,,,,,弹窗定宽 ：368 / 最小左右 padding 12 / 底部距离： / 有控制杆 → 距控制杆顶沿 12dp / 无控制杆 → 距屏幕底部 12dp
Menu,Menu_ComponentSet_00,菜单_无,OS4 UI Kit,,,,,,
Menu,Menu_ComponentSet_01,菜单_默认,OS4 UI Kit,,12,,,,默认：从状态栏 6， 右 12 / 在侧边栏 或容器 ：从容器顶部 12， 右 12
Menu,Menu_ComponentSet_02,菜单_分组_选择菜单,OS4 UI Kit,,12,,,,默认：从状态栏 6， 右 12 / 在侧边栏 或容器 ：从容器顶部 12， 右 12
Menu,Menu_ComponentSet_03,菜单_分组_进入二级菜单,OS4 UI Kit,,12,,,,默认：从状态栏 6， 右 12 / 在侧边栏 或容器 ：从容器顶部 12， 右 12
NoticeBar,NoticeBar_ComponentSet_01,信息提示,OS4 UI Kit,12,12,,,,左12，右12
Keyboard,Keyboard_phone_h_01,手机_竖屏,OS4 UI Kit,0,0,,,,左0，右0
Keyboard,Keyboard_phone_l_01,手机_横屏,OS4 UI Kit,0,0,,,,左0，右0
Keyboard,Keyboard_fold_inside_h_01,Fold_外屏_竖屏,OS4 UI Kit,0,0,,,,左0，右0
Keyboard,Keyboard_fold_inside_l_01,Fold_外屏_横屏,OS4 UI Kit,0,0,,,,左0，右0
Keyboard,Keyboard_fold_outside_h_01,Fold_内屏_竖屏,OS4 UI Kit,0,0,,,,左0，右0
