应用,,PHONE,,FOLD,,,,,,,,PAD,,,,,,,,,,,,,,,
,,竖屏,横屏,外屏,,内屏 / 竖屏,,,内屏 / 横屏,,,竖屏,,,,,,,,横屏,,,,,,,
,列表 List / LC,List_Notes_01,,List_Notes_01,,,"L栏：
List_Notes_03",,,"L栏：
List_Notes_03",,,,,,,,"L栏：
List_Notes_03",,,,,,,,"L栏：
List_Notes_03",
,列表 List / 编辑模式 Edit Mode / NLC,List_Notes_02,,List_Notes_02,,,"L栏：
List_Notes_04",,,"L栏：
List_Notes_04",,"L栏：
List_Notes_04","L栏：
List_Notes_04",,,,,,,"L栏：
List_Notes_04","L栏：
List_Notes_04",,,,,,
,列表 List / 编辑模式 Edit Mode  / NL,List_Notes_06,,List_Notes_08,,,,List_Notes_10,,,List_Notes_12,,,"L栏：
List_Notes_14","L栏：
List_Notes_16",,,,,,,"L栏：
List_Notes_18","L栏：
List_Notes_20",,,,
,列表 List / 编辑模式 Edit Mode / LC,List_Notes_02,,List_Notes_02,,,"L栏：
List_Notes_04",,,"L栏：
List_Notes_04",,,,,,,,"L栏：
List_Notes_04",,,,,,,,"L栏：
List_Notes_04",
,底部工具栏 ToolBar / NLC,BottomBar_Showcase_Notes_01,,BottomBar_Showcase_Notes_01,,,"L栏：
BottomBar_Showcase_Notes_02",,,"L栏：
BottomBar_Showcase_Notes_02",,"L栏：
BottomBar_Showcase_Notes_00","L栏：
BottomBar_Showcase_Notes_00",,,,,,,"L栏：
BottomBar_Showcase_Notes_00","L栏：
BottomBar_Showcase_Notes_00",,,,,,
,底部工具栏 ToolBar / NL,BottomBar_Showcase_Notes_01,,BottomBar_Showcase_Notes_01,,,,"L栏：
BottomBar_Showcase_Notes_01",,,"L栏：
BottomBar_Showcase_Notes_01",,,"L栏：
BottomBar_Showcase_Notes_01","L栏：
BottomBar_Showcase_Notes_01",,,,,,,"L栏：
BottomBar_Showcase_Notes_01","L栏：
BottomBar_Showcase_Notes_01",,,,
,底部工具栏 ToolBar / LC,BottomBar_Showcase_Notes_01,,BottomBar_Showcase_Notes_01,,,"L栏：
BottomBar_Showcase_Notes_02",,,"L栏：
BottomBar_Showcase_Notes_02",,,,,,,,BottomBar_Showcase_Notes_00,,,,,,,,BottomBar_Showcase_Notes_00,
,底部工具栏 ToolBar / 思维导图 Notes_Outline / C,BottomBar_Notes_Outline_01,,BottomBar_Notes_Outline_01,,,,BottomBar_Notes_Outline_01,,,BottomBar_Notes_Outline_01,,,,,,,,BottomBar_Notes_Outline_01,,,,,,,,BottomBar_Notes_Outline_01
,底部工具栏 ToolBar / NoteEditPanel / NLC,BottomBar_NoteEditPanel_01,,BottomBar_NoteEditPanel_01,,,"C栏：
BottomBar_NoteEditPanel_01",,,"C栏：
BottomBar_NoteEditPanel_01",,"C栏：
BottomBar_NoteEditPanel_02","C栏：
BottomBar_NoteEditPanel_02",,,,,,,"C栏：
BottomBar_NoteEditPanel_02","C栏：
BottomBar_NoteEditPanel_02",,,,,,
,底部工具栏 ToolBar / NoteEditPanel / LC,BottomBar_NoteEditPanel_01,,BottomBar_NoteEditPanel_01,,,BottomBar_NoteEditPanel_01,,,BottomBar_NoteEditPanel_01,,,,,,,,"C栏：
BottomBar_NoteEditPanel_02",,,,,,,,"C栏：
BottomBar_NoteEditPanel_02",
